Event#,Sequence,Designation, ConsensusConsensus,Parsimony O,Conflict,SubPhPr,TreeSubDist,OuCheck,TreeSubPhPr,TreePhPr,PhPr,TrpScore,dMax(VisRD),DistRank,O:E,SubDist,Parsimony I,SetDistT,SetDistP,O:E Dist,
 18,KJ466106.1_raccoon_dog,MinorParent, 7.13436957488584, 0, 10, 0, 10, 5, 4, 14, 4, 0, 6.10946424984017, 1.17021276595745, 4, 1, 0, 5, 5, 15,
 20,AF164967.1_,Recombinant, 14.7704516912889, 0, 1, 10, 0, 10, 8, 18, 8, 4, 7.04118776566526, 0, 4, 1, 0, 0, 0, 15,
 20,MT932504.1_Panthera_leo,MajorParent, 3.89992452268053, 0, 1, 0, 5, 0, 0, 14, 0, 8, 6.27935592687389, 0, 4, 0, 0, 0, 0, 0,
 20,AY443350.1_raccoon,MinorParent, 11.3296237860306, 20, 1, 5, 10, 0, 4, 0, 4, 0, 6.67945630746085, 2.04301075268817, 4, 2, 20, 0, 0, 20,
 22,AY445077.2_raccoon,Recombinant, 16.421677386965, 20, 1, 10, 0, 5, 0, 0, 4, 8, 7.38888577912173, 0, 4, 1, 20, 2.5, 0, 15,
 22,AY443350.1_raccoon,MajorParent, 10.5051053186487, 10, 1, 5, 0, 5, 0, 0, 0, 0, 6.61320480122123, 4.08602150537634, 4, 2, 10, 5, 5, 20,
 22,AF164967.1_,MinorParent, 3.07321729438624, 0, 1, 0, 0, 5, 0, 0, 8, 4, 5.99790941965704, .21505376344086, 4, 0, 0, 0, 0, 0,
 23,AY445077.2_raccoon,Recombinant, 16.1030673873384, 20, 1, 5, 10, 5, 8, 18, 8, 4, 6.93136920072718, 3.2258064516129, 4, 1, 20, 0, 0, 15,
 23,AY443350.1_raccoon,MajorParent, 11.777920753442, 20, 1, 10, 5, 5, 4, 14, 4, 0, 6.54953262916362, 5.05376344086022, 0, 2, 20, 2.5, 0, 20,
 23,KJ123771.1_dog,MinorParent, 2.11901185921954, 0, 1, 0, 0, 5, 0, 0, 0, 8, 6.5190981701092, 0, 0, 0, 0, 5, 0, 0,
 24,KJ994343.1_raccoon_dog,Recombinant, 20.1013072524852, 20, 10, 10, 10, 0, 8, 18, 8, 8, 9.77935798979573, 0, 2, 2, 20, 5, 0, 15,
 24,KJ466106.1_raccoon_dog,MajorParent, 2.38703031772933, 0, 5, 0, 5, 10, 0, 0, 0, 4, 4.71754965639378, 1.61290322580645, 0, 0, 0, 2.5, 0, 0,
 24,AF164967.1_,MinorParent, 7.51166242978548, 10, 0, 5, 0, 0, 4, 14, 4, 0, 5.50309235381049, 0, 4, 1, 10, 0, 0, 20,
 28,KX774415.1_Panthera_tigris_altaica,Recombinant, 16.2225773122495, 20, 10, 10, 10, 10, 4, 14, 0, 4, 5.84410817783259, 1.18279569892473, 4, 2, 20, 5, 5, 20,
 28,AB474397.1_,MajorParent, 3.87461847835847, 0, 0, 0, 0, 0, 0, 0, 4, 8, 7.24429856976615, 0, 0, 0, 0, 2.5, 0, 0,
 28,OL441592.1_Mustela_putorius_furo,MinorParent, 9.90280420939205, 10, 0, 5, 5, 0, 8, 18, 8, 0, 6.91159325240126, 0, 2, 1, 10, 0, 0, 15,
 36,AF164967.1_,Recombinant, 13.1828165241741, 20, 10, 0, 5, 5, 8, 18, 8, 4, 6.69985989509177, .21505376344086, 0, 1, 20, 2.5, 0, 15,
 36,AY443350.1_raccoon,MajorParent, 7.13171655460264, 0, 0, 10, 10, 5, 0, 0, 4, 8, 6.76416188075098, 5.80645161290323, 4, 2, 0, 5, 5, 0,
 36,KJ123771.1_dog,MinorParent, 9.68546692122327, 20, 10, 5, 0, 5, 4, 14, 0, 0, 6.53597822415725, 0, 2, 0, 20, 0, 0, 20,
